1,            4.575,              0 
2,            6.246,              0 
1,            7.017,              0 
2,            8.379,              0 
1,           11.816,              0 
1,           13.534,              1 
1,           14.444,              2 
2,           15.189,              1 
1,           16.627,              2 
2,           17.148,              1 
2,           17.688,              0 
2,           19.303,              0 
1,           21.902,              0 
1,           22.373,              1 
2,           23.394,              0 
2,           23.714,              0 
1,           26.100,              0 
2,           26.748,              0 
1,           27.189,              0 
1,           28.975,              1 
2,           29.729,              0 
2,           30.288,              0 
1,           38.673,              0 
2,           40.391,              0 
1,           46.852,              0 
2,           47.935,              0 
1,           65.631,              0 
2,           68.256,              0 
1,           82.264,              0 
2,           88.074,              0 
1,           91.542,              0 
1,           93.303,              1 
2,           93.891,              0 
2,           97.121,              0 
1,           98.533,              0 
2,          100.259,              0 
1,          102.054,              0 
1,          106.456,              1 
1,          108.565,              2 
1,          108.599,              3 
1,          109.419,              4 
2,          109.934,              3 
1,          109.961,              4 
2,          110.221,              3 
2,          110.542,              2 
2,          111.385,              1 
2,          111.670,              0 
1,          113.411,              1 
2,          114.024,              0 
2,          114.099,              0 
1,          127.284,              0 
1,          127.830,              1 
2,          128.438,              0 
2,          129.827,              0 
1,          132.161,              0 
2,          132.229,              0 
1,          142.552,              0 
2,          143.617,              0 
1,          148.133,              0 
2,          151.684,              0 
1,          157.777,              0 
1,          158.204,              1 
2,          158.472,              0 
1,          159.446,              1 
2,          159.744,              0 
2,          161.526,              0 
1,          162.211,              0 
2,          167.127,              0 
4,          180.000,              0 
5,          180.000,              0 
7,          185.751,              0 
7,          186.190,              0 
1,          193.830,              1 
7,          195.582,              1 
1,          204.938,              2 
1,          207.500,              3 
6,          210.000,              3 
2,          213.456,              2 
1,          215.035,              3 
2,          216.209,              2 
1,          220.771,              3 
1,          221.061,              4 
2,          221.916,              3 
2,          223.661,              2 
2,          226.621,              1 
2,          227.365,              0 
2,          228.187,              0 
1,          231.212,              0 
2,          231.550,              0 
1,          245.154,              0 
2,          245.588,              0 
1,          257.103,              0 
2,          261.154,              0 
1,          269.413,              0 
2,          270.652,              0 
1,          272.166,              0 
1,          272.830,              1 
1,          274.622,              2 
2,          275.211,              1 
2,          275.555,              0 
2,          281.248,              0 
1,          282.307,              0 
1,          282.317,              1 
2,          283.989,              0 
2,          286.225,              0 
1,          290.252,              0 
2,          293.453,              0 
1,          297.091,              0 
2,          297.162,              0 
1,          306.054,              0 
1,          306.260,              1 
2,          306.965,              0 
2,          307.095,              0 
1,          309.758,              0 
2,          310.437,              0 
1,          312.287,              0 
2,          313.247,              0 
1,          316.947,              0 
1,          317.161,              1 
2,          318.168,              0 
2,          318.654,              0 
1,          322.179,              0 
2,          322.499,              0 
1,          327.700,              0 
2,          328.694,              0 
1,          331.332,              0 
2,          332.010,              0 
1,          336.394,              0 
1,          336.851,              1 
2,          338.719,              0 
1,          339.199,              1 
2,          340.071,              0 
1,          340.303,              1 
2,          340.990,              0 
2,          341.989,              0 
1,          351.189,              0 
2,          354.342,              0 
1,          360.398,              0 
2,          361.567,              0 
1,          367.158,              0 
2,          367.219,              0 
1,          381.029,              0 
2,          382.113,              0 
1,          387.382,              0 
2,          388.306,              0 
1,          388.865,              0 
1,          392.046,              1 
2,          394.114,              0 
1,          395.174,              1 
1,          398.953,              2 
1,          399.430,              3 
2,          400.569,              2 
1,          401.294,              3 
2,          402.618,              2 
2,          403.823,              1 
1,          407.389,              2 
2,          408.359,              1 
2,          409.092,              0 
1,          409.762,              1 
2,          409.890,              0 
1,          410.458,              1 
2,          410.946,              0 
2,          411.269,              0 
1,          421.624,              0 
2,          422.203,              0 
1,          424.069,              0 
2,          424.451,              0 
1,          438.347,              0 
1,          438.697,              1 
2,          439.092,              0 
2,          439.870,              0 
1,          441.767,              0 
1,          442.636,              1 
1,          444.475,              2 
1,          445.461,              3 
2,          448.353,              2 
2,          450.179,              1 
2,          451.222,              0 
1,          452.004,              1 
2,          452.731,              0 
1,          453.912,              1 
1,          454.917,              2 
2,          458.071,              1 
2,          459.118,              0 
2,          460.104,              0 
1,          466.482,              0 
1,          472.194,              1 
1,          474.129,              2 
2,          475.724,              1 
1,          477.242,              2 
2,          478.037,              1 
2,          483.717,              0 
2,          483.987,              0 
